country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,"Madhya Pradesh",Mandideep,"Sector-D Industrial Area, Mandideep - MPPCB","27-03-2026 08:00:00",23.108440,77.511428,PM2.5,46,148,80
India,"Madhya Pradesh",Mandideep,"Sector-D Industrial Area, Mandideep - MPPCB","27-03-2026 08:00:00",23.108440,77.511428,CO,7,54,21
India,"Madhya Pradesh",Pithampur,"Sector-2 Industrial Area, Pithampur - MPPCB","27-03-2026 08:00:00",22.624758,75.675238,PM2.5,19,72,45
India,"Madhya Pradesh",Pithampur,"Sector-2 Industrial Area, Pithampur - MPPCB","27-03-2026 08:00:00",22.624758,75.675238,PM10,52,157,99
India,Karnataka,Dharwad,"Kalabhavan, Dharwad - KSPCB","27-03-2026 08:00:00",15.459706,75.008381,SO2,6,8,7
India,Maharashtra,Dhule,"Deopur, Dhule - MPCB","27-03-2026 08:00:00",20.918946,74.776388,OZONE,16,68,18
India,Maharashtra,Dombivli,"Kalu Nagar, Dombivli - MPCB","27-03-2026 08:00:00","19.2268427 ","73.0788456 ",NH3,1,2,1
India,Maharashtra,Hingoli,"Ashta Vinayak Nagar, Hingoli - MPCB","27-03-2026 08:00:00",19.710842,77.151824,NH3,3,5,4
India,Maharashtra,Hingoli,"Ashta Vinayak Nagar, Hingoli - MPCB","27-03-2026 08:00:00",19.710842,77.151824,CO,15,57,38
India,Maharashtra,Jalgaon,"Prabhat Colony, Jalgaon - MPCB","27-03-2026 08:00:00",21.001264,75.565602,NO2,3,20,8
India,Maharashtra,Jalgaon,"Prabhat Colony, Jalgaon - MPCB","27-03-2026 08:00:00",21.001264,75.565602,CO,33,46,34
India,Maharashtra,Kalyan,"Khadakpada, Kalyan - MPCB","27-03-2026 08:00:00",19.25292,73.142019,NH3,1,1,1
India,Maharashtra,Kalyan,"Pimpleshwar Mandir, Kalyan - MPCB","27-03-2026 08:00:00",19.192056,72.9585188,NO2,NA,NA,NA
India,Maharashtra,Bhiwandi,"Gokul Nagar, Bhiwandi - MPCB","27-03-2026 08:00:00",19.309073,73.057223,PM10,79,116,101
India,Maharashtra,Boisar,"Khaira, Boisar - MPCB","27-03-2026 08:00:00",19.786089,72.757971,PM2.5,26,75,52
India,Maharashtra,Boisar,"Khaira, Boisar - MPCB","27-03-2026 08:00:00",19.786089,72.757971,PM10,49,97,77
India,Maharashtra,Boisar,"Khaira, Boisar - MPCB","27-03-2026 08:00:00",19.786089,72.757971,NH3,4,11,7
India,Maharashtra,Chandrapur,"Chauhan Colony, Chandrapur - MPCB","27-03-2026 08:00:00",19.962900,79.298714,PM10,75,120,97
India,Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB","27-03-2026 08:00:00",19.9775302,79.2337086,PM10,80,152,112
India,Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB","27-03-2026 08:00:00",19.9775302,79.2337086,CO,34,42,39
India,Maharashtra,Dhule,"Deopur, Dhule - MPCB","27-03-2026 08:00:00",20.918946,74.776388,PM10,54,127,95
India,Maharashtra,Ahmednagar,"Tarakpur, Ahmednagar - MPCB","27-03-2026 08:00:00",19.10122,74.73339,NO2,13,25,21
India,Maharashtra,Ahmednagar,"Tarakpur, Ahmednagar - MPCB","27-03-2026 08:00:00",19.10122,74.73339,NH3,5,7,6
India,Maharashtra,Ambernath,"Chinchpada, Ambernath - MPCB","27-03-2026 08:00:00",19.2157840,73.1997810,PM2.5,32,80,54
India,Maharashtra,Ambernath,"Chinchpada, Ambernath - MPCB","27-03-2026 08:00:00",19.2157840,73.1997810,SO2,17,49,32
India,"Madhya Pradesh",Sagar,"Civil Lines, Sagar - MPPCB","27-03-2026 08:00:00",23.838586,78.759431,CO,10,70,24
